Country or area,ISO Code,Major area,Region,"Developed 
region","Least developed
country","Sub-Saharan 
Africa"
Afghanistan,4,Asia,Southern Asia,No,Yes,No
Albania,8,Europe,Southern Europe,Yes,No,No
Algeria,12,Africa,Northern Africa,No,No,No
American Samoa,16,Oceania,Polynesia,No,No,No
Andorra,20,Europe,Southern Europe,Yes,No,No
Angola,24,Africa,Middle Africa,No,Yes,Yes
Anguilla,660,Latin America and the Caribbean,Caribbean,No,No,No
Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean,No,No,No
Argentina,32,Latin America and the Caribbean,South America,No,No,No
Armenia,51,Asia,Western Asia,No,No,No
Aruba,533,Latin America and the Caribbean,Caribbean,No,No,No
Australia,36,Oceania,Australia and New Zealand,Yes,No,No
Austria,40,Europe,Western Europe,Yes,No,No
Azerbaijan,31,Asia,Western Asia,No,No,No
Bahamas,44,Latin America and the Caribbean,Caribbean,No,No,No
Bahrain,48,Asia,Western Asia,No,No,No
Bangladesh,50,Asia,Southern Asia,No,Yes,No
Barbados,52,Latin America and the Caribbean,Caribbean,No,No,No
Belarus,112,Europe,Eastern Europe,Yes,No,No
Belgium,56,Europe,Western Europe,Yes,No,No
Belize,84,Latin America and the Caribbean,Central America,No,No,No
Benin,204,Africa,Western Africa,No,Yes,Yes
Bermuda,60,Northern America,Northern America,Yes,No,No
Bhutan,64,Asia,Southern Asia,No,Yes,No
Bolivia,68,Latin America and the Caribbean,South America,No,No,No
Bosnia and Herzegovina,70,Europe,Southern Europe,Yes,No,No
Botswana,72,Africa,Southern Africa,No,No,Yes
Brazil,76,Latin America and the Caribbean,South America,No,No,No
British Virgin Islands,92,Latin America and the Caribbean,Caribbean,No,No,No
Brunei Darussalam,96,Asia,South-Eastern Asia,No,No,No
Bulgaria,100,Europe,Eastern Europe,Yes,No,No
Burkina Faso,854,Africa,Western Africa,No,Yes,Yes
Burundi,108,Africa,Eastern Africa,No,Yes,Yes
Cambodia,116,Asia,South-Eastern Asia,No,Yes,No
Cameroon,120,Africa,Middle Africa,No,No,Yes
Canada,124,Northern America,Northern America,Yes,No,No
Cabo Verde,132,Africa,Western Africa,No,No,Yes
Cayman Islands,136,Latin America and the Caribbean,Caribbean,No,No,No
Central African Republic,140,Africa,Middle Africa,No,Yes,Yes
Chad,148,Africa,Middle Africa,No,Yes,Yes
Channel Islands,830,Europe,Northern Europe,Yes,No,No
Chile,152,Latin America and the Caribbean,South America,No,No,No
China,156,Asia,Eastern Asia,No,No,No
"China, Hong Kong Special Administrative Region",344,Asia,Eastern Asia,No,No,No
Colombia,170,Latin America and the Caribbean,South America,No,No,No
Comoros,174,Africa,Eastern Africa,No,Yes,Yes
Congo,178,Africa,Middle Africa,No,No,Yes
Cook Islands,184,Oceania,Polynesia,No,No,No
Costa Rica,188,Latin America and the Caribbean,Central America,No,No,No
Côte d'Ivoire,384,Africa,Western Africa,No,No,Yes
Croatia,191,Europe,Southern Europe,Yes,No,No
Cuba,192,Latin America and the Caribbean,Caribbean,No,No,No
Cyprus,196,Asia,Western Asia,No,No,No
Czech Republic,203,Europe,Eastern Europe,Yes,No,No
Democratic People's Republic of Korea,408,Asia,Eastern Asia,No,No,No
Democratic Republic of the Congo,180,Africa,Middle Africa,No,Yes,Yes
Denmark,208,Europe,Northern Europe,Yes,No,No
Djibouti,262,Africa,Eastern Africa,No,Yes,Yes
Dominica,212,Latin America and the Caribbean,Caribbean,No,No,No
Dominican Republic,214,Latin America and the Caribbean,Caribbean,No,No,No
Ecuador,218,Latin America and the Caribbean,South America,No,No,No
Egypt,818,Africa,Northern Africa,No,No,No
El Salvador,222,Latin America and the Caribbean,Central America,No,No,No
Equatorial Guinea,226,Africa,Middle Africa,No,Yes,Yes
