"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","X","Major.area_d"
"1",4,"Afghanistan",2015.79726027397,"Married/In-union","[Total]",3195.232012,3247.26732,604.035452,673.864436,7778.657565,1402.750859,4333.787058,2236.709085,0,28670.91134,0.11144508,0.113259997,0.06999381,0.174659655,0.244653465,0.286093679482529,0.224705077,0.495961557646515,1,"Asia"
"2",8,"Albania",2009.05479452055,"Married/In-union","[Total]",2768.282967,699.377109,4.527051,18.126426,177.030835,463.659769,157.028953,189.87077,0,5001.439375,0.553497255,0.139835167,0.093610416,0.035020994,0.12863141,0.727741505748868,0.693332422,0.79831439788056,2,"Europe"
"3",24,"Angola",2016,"Married/In-union","[Total]",385.494238,701.775031,172.964772,886.05353,1935.54956,776.419918,1187.955475,551.210174,0,7956.60424,0.048449593,0.088200319,0.119320336,0.260665096,0.379985431,0.314012923300736,0.136649912,0.354552683502643,6,"Africa"
"4",31,"Azerbaijan",2006.70136986301,"Married/In-union","[Total]",2295.572248,398.380988,30.741362,41.622882,346.088536,625.395563,113.832017,304.526925,8.512821,5268.687763,0.435700947,0.075612943,0.12453517,0.02950543,0.1540406,0.808456796454961,0.51131389,0.852120303244647,14,"W Asia and N Africa"
"5",50,"Bangladesh",1994.03287671233,"Married/In-union","[Total]",3011.673422,990.522677,259.395193,420.691609,1215.218988,706.359981,565.701752,752.951323,0,8979.966506,0.33537691,0.110303605,0.107545521,0.109843768,0.217389289,0.49471398289545,0.445680515,0.752505211047874,17,"Asia"
"6",50,"Bangladesh",1997.01095890411,"Married/In-union","[Total]",3066.230646,1094.673155,212.94018,371.376462,1068.037107,615.461053,473.291391,681.017032,0,8450.003546,0.36286738,0.129547065,0.098035608,0.099960651,0.197996258,0.495138690954452,0.492414445,0.736914572032914,17,"Asia"
"7",50,"Bangladesh",2000.07923497268,"Married/In-union","[Total]",3707.612546,1519.138366,269.542296,391.004066,1089.235878,658.423829,476.625403,690.637785,0,9720.33732,0.381428383,0.156284532,0.095466453,0.089259193,0.184725646,0.516801294607463,0.537712915,0.709353211276318,17,"Asia"
"8",50,"Bangladesh",2004.19945355191,"Married/In-union","[Total]",4427.419445,1716.955023,231.347732,332.373746,986.627941,637.858547,406.164516,864.466588,0,10581.61981,0.418406588,0.162258242,0.082143027,0.069794443,0.15193747,0.540637059442941,0.58066483,0.720564715448669,17,"Asia"
"9",50,"Bangladesh",2007.41643835616,"Married/In-union","[Total]",4156.415692,1529.614442,192.921143,265.975513,901.661226,838.837009,413.20809,749.203603,0.609024,10191.7852,0.407820182,0.150083073,0.101234291,0.066640298,0.167874589,0.603035227684161,0.557903255,0.730987278430559,17,"Asia"
"10",50,"Bangladesh",2011.75616438356,"Married/In-union","[Total]",7505.107995,2677.795483,270.487273,345.267575,1274.768873,1071.019695,554.590625,1012.452882,8.420486,16635.28596,0.451155935,0.160970812,0.080642255,0.054093341,0.134735596,0.598522271723947,0.612126747,0.737030259192383,17,"Asia"
"11",50,"Bangladesh",2014.63835616438,"Married/In-union","[Total]",7543.235757,2983.908781,183.59893,274.673892,1199.31622,939.474428,626.857442,944.482496,0,16857.64234,0.447466829,0.177006293,0.066621022,0.053479088,0.12010011,0.554712414501535,0.624473122,0.716550982317538,17,"Asia"
"12",51,"Armenia",2000.83606557377,"Married/In-union","[Total]",2010.082166,485.941685,34.90248,41.463322,165.505951,566.336097,102.440637,144.588733,0,4124.539902,0.487347004,0.117817186,0.145771066,0.0348897,0.180660765,0.80687727631398,0.60516419,0.805313685200045,10,"W Asia and N Africa"
"13",51,"Armenia",2005.79178082192,"Married/In-union","[Total]",1686.421336,459.748357,19.179627,32.652314,225.551132,606.954512,123.401036,154.389177,3.613292,4044.156236,0.417002024,0.113682145,0.154824419,0.038587369,0.193411788,0.800491121047906,0.530684169,0.785781917681437,10,"W Asia and N Africa"
"14",51,"Armenia",2010.87123287671,"Married/In-union","[Total]",1388.782857,601.222578,2.694194,22.276676,214.82251,295.919605,168.246316,168.34678,1.141318,3625.637602,0.383045138,0.165825337,0.082361734,0.052548824,0.134910558,0.610491389413718,0.548870475,0.697878926717638,10,"W Asia and N Africa"
"15",68,"Bolivia",1994.16164383562,"Married/In-union","[Total]",1837.658414,579.75361,506.117035,261.018954,527.198311,636.73399,136.933548,144.214732,0,5333.79948,0.34453084,0.108694302,0.21426584,0.074609573,0.288875413,0.741724045583623,0.453225142,0.760175921573212,25,"Latin America and the Caribbean"
"16",68,"Bolivia",1998.44931506849,"Married/In-union","[Total]",2327.500766,885.800794,534.952812,297.130982,619.013538,784.848569,148.64586,197.417967,0,6648.7148,0.35006777,0.133228875,0.198504737,0.067047069,0.265551806,0.74751793252726,0.483296645,0.724333126707304,25,"Latin America and the Caribbean"
