"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","Major.area_d"
"1",12,"Algeria",2012.5,"Married/In-union","[Total]",5057.951814,5766.644525,122.1246788,190.202182,1861.190797,662.5031074,999.9340865,1976.189823,0,18934.5964,0.267127522,0.304555978,0.041438844,0.062855117,0.104293961,0.397327358196703,0.5716835,0.467264705033467,"W Asia and N Africa"
"2",50,"Bangladesh",2012.5,"Married/In-union","[Total]",17961.74769,8169.415877,382.3217444,424.6251568,2738.691824,3176.68811,1888.851329,2107.175218,0,42262.62236,0.425003151,0.193301206,0.084211761,0.054740486,0.138952247,0.606048213095827,0.618304357,0.687368843820067,"Asia"
"3",52,"Barbados",2012,"Married/In-union","[Total]",357.8684952,232.8839408,7.431491699,21.02839356,22.73022255,144.9643523,99.8815644,56.4549262,0,997.7771741,0.358665747,0.233402754,0.152735348,0.121179318,0.273914667,0.55760193374384,0.592068501,0.605784206378512,"Latin America and the Caribbean"
"4",64,"Bhutan",2010,"Married/In-union","[Total]",5328.450072,1251.113379,127.20528,57.114694,687.628326,959.174418,549.265228,408.969524,0,10029.196,0.531293842,0.124747126,0.108321714,0.060461469,0.168783183,0.641780253664253,0.656040968,0.809848573359217,"Asia"
"5",70,"Bosnia and Herzegovina",2011.5,"Married/In-union","[Total]",962.5777533,309.1370495,3.73421403,3.83938866,101.9261436,720.3251603,159.1703556,183.2382409,0,2763.550234,0.348312016,0.111862287,0.262003334,0.058985627,0.320988961,0.816237833175827,0.460174303,0.756913225552275,"Europe"
"6",84,"Belize",2011,"Married/In-union","[Total]",926.9144111,389.3761263,24.14257674,54.44767,182.7632928,269.2492928,207.3421761,160.2015971,0,2386.449358,0.388407325,0.163161278,0.122940748,0.109698471,0.232639219,0.528460972868036,0.551568603,0.704186791792426,"Latin America and the Caribbean"
"7",112,"Belarus",2012,"Married/In-union","[Total]",1549.985474,962.7227956,4.673171848,10.48867067,223.7981092,343.9598294,192.2479183,296.6601587,0,3984.7636,0.388978025,0.241600981,0.087491514,0.050877946,0.138369461,0.632303641046921,0.630579006,0.616858508289761,"Europe"
"8",120,"Cameroon",2014,"Married/In-union","[Total]",722.7018826,1238.707688,55.20859364,162.0607822,1290.284993,359.2119519,448.7489528,760.5856278,0,5703.991752,0.126701074,0.217165056,0.072654478,0.10708461,0.179739089,0.404221910794262,0.34386613,0.368460464541826,"Africa"
"9",140,"Central African Republic",2010,"Married/In-union","[Total]",378.2163957,1176.66106,191.4976368,631.5552508,2332.139875,754.222016,1851.954975,1410.300209,0,10242.63709,0.036925686,0.114878722,0.092331657,0.242467853,0.33479951,0.275781935881567,0.151804408,0.243245150035432,"Africa"
"10",148,"Chad",2010,"Married/In-union","[Total]",95.65015935,518.0788114,150.2045265,1345.470972,3756.666027,550.135808,2396.675107,1884.499279,0,12652.70719,0.00755966,0.040946084,0.055351027,0.29575853,0.351109557,0.157646027846516,0.048505744,0.155850820471901,"Africa"
"11",180,"Democratic Republic of the Congo",2010,"Married/In-union","[Total]",468.9500154,1054.439767,154.9672029,883.6281784,2069.233129,632.7461252,1211.497372,1138.92193,0,8595.457187,0.054557891,0.122674076,0.091642982,0.243748006,0.335390988,0.273242231541415,0.177231967,0.3078332420697,"Africa"
"12",188,"Costa Rica",2011,"Married/In-union","[Total]",1624.790459,461.7747613,32.97691731,28.71387452,112.5183662,141.9903526,100.0060336,90.09452682,0,2736.558346,0.593734996,0.168742889,0.063936978,0.047037151,0.110974129,0.576143093675464,0.762477885,0.778691431817724,"Latin America and the Caribbean"
"13",192,"Cuba",2010.5,"Married/In-union","[Total]",3247.588556,1136.392685,26.21843838,20.23260374,150.0695083,376.2312351,197.558947,294.3579225,0,5899.148939,0.550518149,0.192636717,0.06822165,0.036919148,0.105140798,0.64885992210179,0.743154866,0.740785230894256,"Latin America and the Caribbean"
"14",192,"Cuba",2014,"Married/In-union","[Total]",2947.702341,874.7799138,8.438607555,31.05227993,143.8285573,224.6044828,151.8616271,190.1450731,0,5185.144799,0.568489879,0.168708869,0.044944375,0.035276528,0.080220903,0.560257655040358,0.737198748,0.771148730979668,"Latin America and the Caribbean"
"15",204,"Benin",2014,"Married/In-union","[Total]",828.0607425,1151.475409,335.4220402,827.2568577,2200.251842,1032.993796,1476.886841,1270.571121,0,11081.66139,0.07472352,0.103908193,0.123484718,0.20792403,0.331408749,0.372605486042856,0.178631713,0.418310493389267,"Africa"
"16",214,"Dominican Republic",2014,"Married/In-union","[Total]",7525.586358,3012.251566,130.6610917,365.4673012,764.7628275,507.5506067,724.7705685,818.7693136,0,15133.81068,0.497269757,0.199041182,0.042171249,0.072039878,0.114211127,0.369239408696142,0.696310939,0.714148994577263,"Latin America and the Caribbean"
