"","ISO.code","Major.area_d"
"1",4,"Asia"
"2",8,"Europe"
"3",12,"W Asia and N Africa"
"6",24,"Africa"
"8",28,"Latin America and the Caribbean"
"9",32,"Latin America and the Caribbean"
"10",51,"W Asia and N Africa"
"12",36,"Oceania"
"13",40,"Europe"
"14",31,"W Asia and N Africa"
"15",44,"Latin America and the Caribbean"
"16",48,"W Asia and N Africa"
"17",50,"Asia"
"18",52,"Latin America and the Caribbean"
"19",112,"Europe"
"20",56,"Europe"
"21",84,"Latin America and the Caribbean"
"22",204,"Africa"
"24",64,"Asia"
"25",68,"Latin America and the Caribbean"
"26",70,"Europe"
"27",72,"Africa"
"28",76,"Latin America and the Caribbean"
"31",100,"Europe"
"32",854,"Africa"
"33",108,"Africa"
"34",116,"Asia"
"35",120,"Africa"
"36",124,"Northern America"
"37",132,"Africa"
"39",140,"Africa"
"40",148,"Africa"
"42",152,"Latin America and the Caribbean"
"43",156,"Asia"
"44",344,"Asia"
"45",170,"Latin America and the Caribbean"
"46",174,"Africa"
"47",178,"Africa"
"49",188,"Latin America and the Caribbean"
"50",384,"Africa"
"51",191,"Europe"
"52",192,"Latin America and the Caribbean"
"54",203,"Europe"
"55",408,"Asia"
"56",180,"Africa"
"57",208,"Europe"
"58",262,"Africa"
"60",214,"Latin America and the Caribbean"
"61",218,"Latin America and the Caribbean"
"62",818,"W Asia and N Africa"
"63",222,"Latin America and the Caribbean"
"64",226,"Africa"
"65",232,"Africa"
"66",233,"Europe"
"67",231,"Africa"
"70",242,"Oceania"
"71",246,"Europe"
"72",250,"Europe"
"75",266,"Africa"
"76",270,"Africa"
"77",268,"W Asia and N Africa"
"78",276,"Europe"
"79",288,"Africa"
"81",300,"Europe"
"83",308,"Latin America and the Caribbean"
"84",312,"Latin America and the Caribbean"
"85",316,"Oceania"
"86",320,"Latin America and the Caribbean"
"87",324,"Africa"
"88",624,"Africa"
"89",328,"Latin America and the Caribbean"
"90",332,"Latin America and the Caribbean"
"92",340,"Latin America and the Caribbean"
"93",348,"Europe"
"95",356,"Asia"
"96",360,"Asia"
"97",364,"Asia"
"98",368,"W Asia and N Africa"
"99",372,"Europe"
"101",376,"W Asia and N Africa"
"102",380,"Europe"
"103",388,"Latin America and the Caribbean"
"104",392,"Asia"
"105",400,"W Asia and N Africa"
"106",398,"Asia"
"107",404,"Africa"
"108",296,"Oceania"
"109",414,"W Asia and N Africa"
"110",417,"Asia"
"111",418,"Asia"
"112",428,"Europe"
"113",422,"W Asia and N Africa"
"114",426,"Africa"
"115",430,"Africa"
"116",434,"W Asia and N Africa"
"118",440,"Europe"
"121",450,"Africa"
"122",454,"Africa"
"123",458,"Asia"
"124",462,"Asia"
"125",466,"Africa"
"126",470,"Europe"
"128",474,"Latin America and the Caribbean"
"129",478,"Africa"
"130",480,"Africa"
"132",484,"Latin America and the Caribbean"
"135",496,"Asia"
"136",499,"Europe"
"138",504,"W Asia and N Africa"
"139",508,"Africa"
"140",104,"Asia"
"141",516,"Africa"
"143",524,"Asia"
"144",528,"Europe"
"147",554,"Oceania"
"148",558,"Latin America and the Caribbean"
"149",562,"Africa"
"150",566,"Africa"
"153",578,"Europe"
"154",512,"W Asia and N Africa"
"155",586,"Asia"
"157",591,"Latin America and the Caribbean"
"158",598,"Oceania"
"159",600,"Latin America and the Caribbean"
"160",604,"Latin America and the Caribbean"
"161",608,"Asia"
"163",616,"Europe"
"164",620,"Europe"
"165",630,"Latin America and the Caribbean"
"166",634,"W Asia and N Africa"
"167",410,"Asia"
"168",498,"Europe"
"169",638,"Africa"
"170",642,"Europe"
"171",643,"Europe"
"172",646,"Africa"
"175",662,"Latin America and the Caribbean"
"177",670,"Latin America and the Caribbean"
"178",882,"Oceania"
"180",678,"Africa"
"181",682,"W Asia and N Africa"
"182",686,"Africa"
"183",688,"Europe"
"185",694,"Africa"
"186",702,"Asia"
"187",703,"Europe"
"188",705,"Europe"
"189",90,"Oceania"
"190",706,"Africa"
"191",710,"Africa"
"192",728,"Africa"
"193",724,"Europe"
"194",144,"Asia"
"195",275,"W Asia and N Africa"
"196",729,"W Asia and N Africa"
"197",740,"Latin America and the Caribbean"
"198",748,"Africa"
"199",752,"Europe"
"200",756,"Europe"
"201",760,"W Asia and N Africa"
"202",762,"Asia"
"203",764,"Asia"
"204",807,"Europe"
"205",626,"Asia"
"206",768,"Africa"
"208",776,"Oceania"
"209",780,"Latin America and the Caribbean"
"210",788,"W Asia and N Africa"
"211",792,"W Asia and N Africa"
"212",795,"Asia"
"215",800,"Africa"
"216",804,"Europe"
"217",784,"W Asia and N Africa"
"218",826,"Europe"
"219",834,"Africa"
"220",840,"Northern America"
"221",850,"Latin America and the Caribbean"
"222",858,"Latin America and the Caribbean"
"223",860,"Asia"
"224",548,"Oceania"
"225",862,"Latin America and the Caribbean"
"226",704,"Asia"
"229",887,"W Asia and N Africa"
"230",894,"Africa"
"231",716,"Africa"
